Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,Height_Male,Height_Female,Weight_Male,Weight_Female,Life_Expectancy,Temperament,Group,Breed,URL,min_height_male,max_height_male,min_height_female,max_height_female,min_weight_male,max_weight_male,min_weight_female,max_weight_female,min_expectancy,max_expectancy
3,3,3,3,4,3,Double Curly,Medium Long,2,3,5,4,4,4,3,4,27-30 inches (male),26-29 inches (female),80-130 pounds,Info Not Available,10-12 years,"intelligent,calm,powerful",Working group,Black Russian Terrier,https://www.akc.org/dog-breeds/black-russian-terrier/,68.58,76.2,66.04,73.66,36.28736,58.96696,0.0,0.0,10.0,12.0
4,3,3,3,2,5,Smooth,Short,3,3,2,3,4,3,5,3,25-27 inches (male),23-25 inches (female),90-110 pounds (male),80-100 pounds (female),10-12 years,"independent,friendly,inquisitive",Hound group,Bloodhound,https://www.akc.org/dog-breeds/bloodhound/,63.5,68.58,58.42,63.5,40.82328,49.89512,36.28736,45.3592,10.0,12.0
3,3,5,3,2,2,Smooth,Short,3,3,2,3,4,4,4,3,22-27 inches (male),21-25 inches (female),55-80 pounds (male),45-65 pounds (female),11-12 years,"devoted,smart,tenacious",Hound group,Bluetick Coonhound,https://www.akc.org/dog-breeds/bluetick-coonhound/,55.88,68.58,53.34,63.5,24.94756,36.28736,20.41164,29.48348,11.0,12.0
5,4,2,3,2,3,Smooth,Short,3,3,5,3,4,3,3,4,24-27 inches (male),22-25 inches (female),150-200 pounds,Info Not Available,9-11 years,"intelligent,confident,calm",Working group,Boerboel,https://www.akc.org/dog-breeds/boerboel/,60.96,68.58,55.88,63.5,68.0388,90.7184,0.0,0.0,9.0,11.0
5,5,3,3,2,2,Double Wavy,Medium,4,3,3,4,4,3,3,4,20.5-21.7 inches (males),19.3-20.5 inches (females),41-60 pounds (males),37-53 pounds (females),12-15 years,"friendly, devoted, alert and intelligent",Foundation stock service,Bohemian Shepherd,https://www.akc.org/dog-breeds/bohemian-shepherd/,52.07,55.118,49.022000000000006,52.07,18.597272,27.215519999999998,16.782904,24.040376,12.0,15.0
3,3,3,1,3,1,Wavy,Long,5,1,1,5,5,1,1,1,10-12 inches,Info Not Available,6-10 pounds,Info Not Available,12-14 years,"playful,easy-going,devoted",Foundation stock service,Bolognese,https://www.akc.org/dog-breeds/bolognese/,25.4,30.48,0.0,0.0,2.721552,4.53592,0.0,0.0,12.0,14.0
5,3,3,3,3,1,Double Wavy,Medium,4,5,3,5,5,5,4,5,19-22 inches (male),18-21 inches (female),30-55 pounds,Info Not Available,12-15 years,"energetic,affectionate,smart",Herding group,Border Collie,https://www.akc.org/dog-breeds/border-collie/,48.26,55.88,45.72,53.34,13.607759999999999,24.94756,0.0,0.0,12.0,15.0
4,5,3,2,2,1,Wiry,Short,4,4,3,4,4,3,3,3,12-15 inches,Info Not Available,13-15.5 pounds (male),11.5-14 pounds (female),12-15 years,"affectionate,happy,plucky",Terrier group,Border Terrier,https://www.akc.org/dog-breeds/border-terrier/,30.48,38.1,0.0,0.0,5.896696,7.030676,5.216308,6.350288,12.0,15.0
3,3,3,3,2,1,Curly Silky,Medium,3,3,3,3,2,4,2,4,28 inches & up (male),26 inches & up (female),75-105 pounds (male),60-85 pounds (female),9-14 years,"loyal,affectionate,regally dignified",Hound group,Borzoi,https://www.akc.org/dog-breeds/borzoi/,71.12,71.12,66.04,66.04,34.0194,47.627159999999996,27.215519999999998,38.55532,9.0,14.0
5,5,4,2,2,1,Smooth,Short,5,5,3,3,4,4,2,3,15-17 inches,Info Not Available,12-25 pounds,Info Not Available,11-13 years,"friendly,bright,amusing",Non-sporting group,Boston Terrier,https://www.akc.org/dog-breeds/boston-terrier/,38.1,43.18,0.0,0.0,5.443104,11.3398,0.0,0.0,11.0,13.0
3,3,3,3,4,2,Rough Double,Medium,3,3,4,3,4,4,3,3,24.5-27.5 inches (male),23.5-26.5 inches (female),70-110 pounds,Info Not Available,10-12 years,"strong-willed,courageous,affectionate",Herding group,Bouvier des Flandres,https://www.akc.org/dog-breeds/bouvier-des-flandres/,62.230000000000004,69.85,59.69,67.31,31.75144,49.89512,0.0,0.0,10.0,12.0
4,5,3,2,2,3,Smooth,Short,4,4,4,3,4,4,3,4,23-25 inches (male),21.5-23.5 inches (female),65-80 pounds (male),females are about 15 pounds less than male,10-12 years,"active,bright,fun-loving",Working group,Boxer,https://www.akc.org/dog-breeds/boxer/,58.42,63.5,54.61,59.69,29.48348,36.28736,6.8038799999999995,6.8038799999999995,10.0,12.0
3,5,5,3,3,1,Double Wavy,Medium,3,4,3,4,4,4,3,3,15.5-18 inches (male),14-16.5 inches (female),30-40 pounds (male),25-35 pounds (female),10-15 years,"friendly,eager,lovable",Sporting group,Boykin Spaniel,https://www.akc.org/dog-breeds/boykin-spaniel/,39.37,45.72,35.56,41.910000000000004,13.607759999999999,18.14368,11.3398,15.87572,10.0,15.0
3,4,4,2,1,2,Smooth,Short,3,3,3,3,5,4,2,3,21-27 inches,Info Not Available,55-90 pounds,Info Not Available,10-14 years,"intelligent,affectionate,enthusiastic",Sporting group,Bracco Italiano,https://www.akc.org/dog-breeds/bracco-italiano/,53.34,68.58,0.0,0.0,24.94756,40.82328,0.0,0.0,10.0,14.0
3,3,4,2,1,2,Smooth,Short,3,3,3,3,5,4,2,3,19-22.5 inches,Info Not Available,35-53 pounds,Info Not Available,10-12 years,"affectionate,gentle,adaptable",Foundation stock service,Braque du Bourbonnais,https://www.akc.org/dog-breeds/braque-du-bourbonnais/,48.26,57.15,0.0,0.0,15.87572,24.040376,0.0,0.0,10.0,12.0
3,5,5,3,1,2,Smooth,Short,3,3,3,3,3,5,3,3,18.5-23 inches,Info Not Available,40-55 pounds,Info Not Available,12-15 years,"friendly,smart,willing to please",Foundation stock service,Braque Francais Pyrenean,https://www.akc.org/dog-breeds/braque-francais-pyrenean/,46.99,58.42,0.0,0.0,18.14368,24.94756,0.0,0.0,12.0,15.0
3,3,3,1,4,2,Double Wavy,Long,3,3,4,3,3,3,1,3,23-27 inches (male),22-25.5 inches (female),55-100 pounds,Info Not Available,12 years,"confident,smart,faithful",Herding group,Briard,https://www.akc.org/dog-breeds/briard/,58.42,68.58,55.88,64.77,24.94756,45.3592,0.0,0.0,12.0,12.0
3,4,4,3,3,1,Double Wavy,Short,3,4,3,3,5,5,3,4,17.5-20.5 inches,Info Not Available,30-40 pounds,Info Not Available,12-14 years,"bright,fun-loving,upbeat",Sporting group,Brittany,https://www.akc.org/dog-breeds/brittany/,44.45,52.07,0.0,0.0,13.607759999999999,18.14368,0.0,0.0,12.0,14.0
3,3,3,3,1,3,Smooth,Short,3,3,4,3,3,2,1,3,27.5-29.5 inches,Info Not Available,90-150 pounds,Info Not Available,8-10 years,"friendly,loving,watchful",Foundation stock service,Broholmer,https://www.akc.org/dog-breeds/broholmer/,69.85,74.93,0.0,0.0,40.82328,68.0388,0.0,0.0,8.0,10.0
4,3,3,3,3,1,Wiry Smooth Double,Short Medium,4,4,3,4,4,3,4,3,7-10 inches,Info Not Available,8-10 pounds,Info Not Available,12-15 years,"alert,curious,loyal",Toy group,Brussels Griffon,https://www.akc.org/dog-breeds/brussels-griffon/,17.78,25.4,0.0,0.0,3.628736,4.53592,0.0,0.0,12.0,15.0
4,3,1,3,2,1,Smooth,Short,4,4,3,3,3,4,3,4,21-22 inches,Info Not Available,50-70 pounds,Info Not Available,12-13 years,"playful,charming,mischievous",Terrier group,Bull Terrier,https://www.akc.org/dog-breeds/bull-terrier/,53.34,55.88,0.0,0.0,22.6796,31.75144,0.0,0.0,12.0,13.0
4,3,3,3,3,3,Smooth,Short,4,4,3,3,4,3,2,3,14-15 inches,Info Not Available,50 pounds (male),40 pounds (female),8-10 years,"friendly,courageous,calm",Non-sporting group,Bulldog,https://www.akc.org/dog-breeds/bulldog/,35.56,38.1,0.0,0.0,22.6796,22.6796,18.14368,18.14368,8.0,10.0
4,3,3,3,1,3,Smooth,Short,3,3,5,3,4,4,1,4,25-27 inches (male),24-26 inches (female),110-130 pounds (male),100-120 pounds (female),7-9 years,"loyal,affectionate,brave",Working group,Bullmastiff,https://www.akc.org/dog-breeds/bullmastiff/,63.5,68.58,60.96,66.04,49.89512,58.96696,45.3592,54.431039999999996,7.0,9.0
4,3,3,2,2,1,Wiry Double,Medium,3,4,4,3,3,3,4,3,10 inches (male),9.5 inches (female),14 pounds (male),13 pounds (female),13-15 years,"alert,cheerful,busy",Terrier group,Cairn Terrier,https://www.akc.org/dog-breeds/cairn-terrier/,25.4,25.4,24.13,24.13,6.350288,6.350288,5.896696,5.896696,13.0,15.0
3,3,3,4,2,1,Smooth Double,Short,3,3,4,3,4,3,5,3,20-24 inches (male),19-23 inches (female),45-55 pounds (male),35-45 pounds (female),12-15 years,"alert,vigilant,confident",Herding group,Canaan Dog,https://www.akc.org/dog-breeds/canaan-dog/,50.8,60.96,48.26,58.42,20.41164,24.94756,15.87572,20.41164,12.0,15.0
4,3,3,2,1,3,Smooth,Short,3,3,5,3,4,4,3,3,25-27.5 inches (male),23.5-26 inches (female),Proportionate to height,Info Not Available,9-12 years,"intelligent,affectionate,majestic",Working group,Cane Corso,https://www.akc.org/dog-breeds/cane-corso/,63.5,69.85,59.69,66.04,0.0,0.0,0.0,0.0,9.0,12.0
4,4,3,3,2,1,Double,Medium,4,4,3,3,4,4,5,4,10.5-12.5 inches,Info Not Available,30-38 pounds (male),25-34 pounds (female),12-15 years,"loyal,affectionate,smart",Herding group,Cardigan Welsh Corgi,https://www.akc.org/dog-breeds/cardigan-welsh-corgi/,26.67,31.75,0.0,0.0,13.607759999999999,17.236496,11.3398,15.422128,12.0,15.0
3,3,3,3,1,2,Smooth,Short,3,3,3,3,3,3,3,3,17.75-19.5 inches,Info Not Available,30-55 pounds,Info Not Available,years,"independent,loyal,reserved with strangers",Foundation stock service,Carolina Dog,https://www.akc.org/dog-breeds/carolina-dog/,45.085,49.53,0.0,0.0,13.607759999999999,24.94756,0.0,0.0,0.0,0.0
4,3,3,3,2,2,Smooth,Short,3,3,4,3,4,5,1,4,22-24 inches,Info Not Available,50-95 pounds,Info Not Available,10-14 years,"independent,loyal,watchful",Foundation stock service,Catahoula Leopard Dog,https://www.akc.org/dog-breeds/catahoula-leopard-dog/,55.88,60.96,0.0,0.0,22.6796,43.09124,0.0,0.0,10.0,14.0
3,3,2,4,3,4,Double,Medium,2,2,5,3,3,3,2,3,23-30 inches,Info Not Available,99-170 pounds,Info Not Available,10-12 years,"fearless,bold,kind",Foundation stock service,Caucasian Shepherd Dog,https://www.akc.org/dog-breeds/caucasian-shepherd-dog/,58.42,76.2,0.0,0.0,44.905608,77.11064,0.0,0.0,10.0,12.0
5,5,5,2,2,2,Wavy Silky,Medium,4,3,3,3,4,3,3,3,12-13 inches,Info Not Available,13-18 pounds,Info Not Available,12-15 years,"affectionate,gentle,graceful",Toy group,Cavalier King Charles Spaniel,https://www.akc.org/dog-breeds/cavalier-king-charles-spaniel/,30.48,33.02,0.0,0.0,5.896696,8.164656,0.0,0.0,12.0,15.0
3,3,3,3,1,3,Double,Medium,1,3,5,4,4,3,3,3,Minimum: 25.5-27.5 inches,Info Not Available,Minimum: 88-110 pounds,Info Not Available,years,"independent,courageous,self-confident",Foundation stock service,Central Asian Shepherd Dog,https://www.akc.org/dog-breeds/central-asian-shepherd-dog/,64.77,69.85,0.0,0.0,39.916095999999996,49.89512,0.0,0.0,0.0,0.0
4,5,3,2,2,1,Wavy Silky,Medium,4,3,3,4,3,3,3,3,10-13 inches,Info Not Available,14-24 pounds,Info Not Available,12-15 years,"clever,adventurous,family-oriented",Terrier group,Cesky Terrier,https://www.akc.org/dog-breeds/cesky-terrier/,25.4,33.02,0.0,0.0,6.350288,10.886208,0.0,0.0,12.0,15.0
4,3,3,3,3,2,Wiry Wavy,Medium,3,3,4,4,5,4,3,4,23-26 inches (male),21-24 inches (female),65-80 pounds (male),55-70 pounds (female),10-13 years,"bright,affectionate,sensitive",Sporting group,Chesapeake Bay Retriever,https://www.akc.org/dog-breeds/chesapeake-bay-retriever/,58.42,66.04,53.34,60.96,29.48348,36.28736,24.94756,31.75144,10.0,13.0
